,Summary,Text
0,"Late Tamil Nadu CM Jayalalithaa's niece Amrutha has claimed that Sasikala Natarajan never allowed Jayalalithaa to be close to her family. Saying that Sasikala does not have any rights over Jayalalithaa's property, cash, and jewellery, Amrutha added, ""Let it be handed over to the government and this can be utilised for the people of Tamil Nadu.""","ÃÂ The late chief minister of Tamil Nadu, J Jayalalithaa never spoke about her family. She was in fact very secretive about who was family. The only one seen by her side everywhere was Sasikala Natarajan who as of today allegedly has all the power in her hands whether it is the party or the government. ÃÂ Joining the controversy about who would own what of the late chief minister's property, cash and jewellery and now joining the controversy is Jayalalithaa's estranged younger sister's daughter Amrutha who lives in Kengeri on the outskirts of Bengaluru. ""Whatever is there should be handed over to the government because Sasikala does not have any rights in this case. Let it be handed over to the government and this can be utilised for the people of Tamil Nadu,"" Amrutha said.She was extremely heartbroken when she was not allowed to visit her aunt while she was under treatment at the Apollo hospital in Chennai. ""Thrice we went to the hospital to visit Jayalalithaa. When we went over there, the police said that she wasn't there and was being treated elsewhere,"" she said. Also Read FAMILY NOT INFORMEDAmrutha got the news of her aunt's death on television. She along with her family members rushed to Chennai but was denied permission to see Jayalalithaa's mortal remains. ÃÂ ""They kept avoiding us. It was a leader belonging to the DMK who took us to see her. It was difficult for him as well but he did his best,"" Amruttha said.Also Read: Jayalalithaa's house opens to public with lot of restrictions According to her estranged niece, it was only when an article was published in a local Tamil magazine in 2014, that Jayalalithaa didn't want her family to be known to the media. She said that, ""Jayalalithaa did not want our relationship to come out in the open and not let the media know about this.' Things were different before, said Amruttha. ""When she was not well she would speak about it on the phone. When she was feeling depressed she would tell me. She would cry on the phone,"" she said. ""But at that moment if anyone entered the room she would remain silent, she would not speak but would cut the call. I used to always think that it was Sasikala who had entered the room. Then she would not call immediately but would wait for 3 days or a week to call back."" Also Read: What exactly happened to Jayalalithaa? We got this from doctors who know MEMORIESAmrutha recollected the time she spent at Poes Garden with late chief minister in 1996-1998. ""I have had breakfast along with her but she really liked mango juice. She used to drink it early in the morning at 5,"" she said. ""We have always said that we do not want any of her property. Even my mother used to always say that we do not want anything of hers but that Jayalalithaa acknowledged that she was her sister."""
1,"Chhattisgarh Chief Minister Raman Singh on Sunday announced that ambulance service for cows will be started in 10 districts of the state over the next few months. He also urged people to support organic farming and biogas in order to promote a cow-based economy. Earlier this year, Singh had said that anyone found killing cows in Chhattisgarh will be hanged.","ÃÂ The Chhattisgarh government will begin an ambulance service for cows, chief minister Raman Singh said, joining a number of BJP-ruled states to put a stronger focus on protection of the animal that is considered sacred by Hindus.The service will be started in ten districts in the next few months, Singh said, addressing a programme organised by the state?s commission for protection of cows at Pandit Ravi Shankar University on Sunday.Protecting cows and promoting products derived from them has been in focus since the rise of the Bharatiya Janata Party with the election of Prime Minister Narendra Modi three years ago, at times being seen as a factor that has emboldened vigilante ?gau rakshaks? who have killed and attacked people. The Uttar Pradesh government announced a similar service, as did a particular district in Madhya Pradesh over the last year. Raman Singh did not elaborate on how much the scheme will cost.On Sunday, Singh urged people to use panchagavya ? a concoction prepared by mixing constituents derived directly and indirectly from cows such as dung, urine, milk, curd and ghee ? and help promote the cow-based economy. ?Organic farming and biogas can help promote a cow-based economy,? Singh said. Singh had in April said that anyone found killing cows in Chhattisgarh will be hanged, suggesting a radical shift in plans to protect the bovine.Under the Chhattisgarh Pashu Krurata Adhiniyam, cow slaughter and transporting beef is banned. Anyone found guilty faces up to seven years in jail and a fine of Rs 50,000 or both."
2,"Sacked AAP Minister Kapil Mishra on Sunday accused the Aam Aadmi Party of being involved in a 'big' donation scam, alleging the party concealed the actual amount of donations and used shell companies to launder black money. ""Kejriwal and his associates are part of this scam,"" he said. He also affirmed that he will approach the CBI with the documents.","ÃÂ Sacked Delhi minister Kapil Mishra has once again trained guns at Aam Aadmi Party chief Arvind Kejriwal.Kapil Mishra today accused the Aam Aadmi Party of not revealing its total funding to the Election Commission and the Income Tax department.Kapil Mishra alleged that the AAP was converting black money into white and that was precisely the reason why Arvind Kejriwal protested against demonetisation. Addressing a press conference in New Delhi, Kapil Mishra asked Arvind Kejriwal to quit as Delhi Chief Minister else he will ""drag him by the collar and take him to Tihar jail"".ÃÂ ÃÂ  Minutes after attacking Arvind Kejriwal, Kapil Mishra fainted and had to be rushed to a hospital.ÃÂ  ÃÂ  ÃÂ  Mishra, who has been sitting on a fast for the last five days, earlier took to Twitter to post a picture of some documents with a caption that said ""through these documents, truth will be revealed today"".He followed it up with another tweet and said ""will be presenting some facts in front of the public... Country is being cheated. Let God give us the strength"".HERE ARE THE HIGHLIGHTS:ALSO READ:Aam Aadmi Party: Is this an end of the road for Arvind Kejriwal's national ambitions? "
3,"Delhi High Court on Monday launched a helpline number-1888 for litigants and lawyers to provide an easy access to justice. Initially, the helpline was proposed for making advanced reservations of wheelchairs to facilitate movement around the court for differently abled persons. The facility would expand over time to include information dispensation related to case-filing, legal aid among others.","ÃÂ In a first, Delhi High Court has introduced a four-digit helpline number to cater to the litigants as well as lawyers aiming to provide an easy access to justice.The helpline number 1888 would enable litigants and other stakeholders to receive multi-functional information over a period of time.The services would be related to listing of the matter, filing of the cases, information to the parties, verification of their cases and functional facilities available within the premises of the Delhi High Court.To begin with, the helpline facility has proposed to initially cater to the differently-abled litigants as well as advocates to traverse the passage into and through the high court building.ADVANCED RESERVATION POSSIBLE""The litigants can make advance reservation by the way of making a call or sending an SMS on the helpline. Once a call is made on the helpline, the designated officer shall attend to the caller and note down the requirement,"" said a Delhi High Court official.He added: ""He shall simultaneously make the arrangements on the ground and let the litigant know the point where he will be received with a wheel chair.""The facility promises to never go answered.""In case of any problem with respect to the connectivity of the number, two standby officers have been designated who shall attend to the call and subsequently make arrangements.""ALSO READ|ÃÂ  Waste of time: Delhi High Court rejects plea challenging use of public money to pay Ram Jethmalani"
4,The Ghaziabad Police on Sunday said they have arrested five persons for smuggling liquor and three persons for alleged drug peddling over the past week during raids conducted in the city. The police recovered 304 cartons of liquor during routine checking drives and also seized nine kilograms of marijuana from the drug peddlers.,"week: Police Ghaziabad, Jul 29 (PTI) The Ghaziabad police today said it has arrested five persons on charges of smuggling liquor and three for alleged drug peddling in the past week during several raids in the district. Senior Superintendent of Police H N Singh said in this week the police has recovered 304 cartons of liquor during its routine checking drives at intersections of Sector C-8 and A-7 under Tronica City Police Station. "
5,"Former JNU Students Union President Kanhaiya Kumar said, ""Such is the environment of fear in India now, that if you do not use Patanjali face wash, then you will be called anti-national."" Kanhaiya further said that various sections of society, including intellectuals, are living in fear. ""If you demand reduction in fee, you will be labelled as anti-national,"" he added.","wash: Kanhaiya Nagpur, Apr 13 (PTI) Stating that many sections of society are living in ""environment of fear"", the student leader Kanhaiya Kumar today said one will be dubbed ""anti-national"" even for not using a Patanjali brand face wash in present scenario. ""Such is the environment of fear in country now, that if you doÃÂ not use Patanjali face wash, then you will be called anti-national,"" the former president of the Jawaharlal Nehru University Students Union (JNUSU) said. Patanjali Ayrved is the Indian FMCG firm founded by Yoga guru Baba Ramdev. He was addressing a gathering to launch Bihar Te Tihar, the Marathi version of his Hindi book, on the eve of the birth anniversary of dalit icon Dr B R Ambedkar. ""Babasaheb Ambedkar had framed Constitution in such a manner that it has provided freedom to every member of society in many ways. But this freedom enshrined in the Constitution has not been delivered to large section of society,"" Kumar said. "
6,"Calcutta High Court judge Justice CS Karnan has ordered a five-year jail sentence for Supreme Court judges, including the Chief Justice of India Jagdish Singh Khehar. Karnan, who had earlier accused the seven-judge bench of discriminating against him for being a Dalit, said the judges are guilty under the Scheduled Castes and the Scheduled Tribes (Prevention of Atrocities) Act.","to 5 years RI Kolkata, May 8 (PTI) Calcutta High Court judge Justice C S Karnan, who is facing contempt charges, today ""sentenced"" Chief Justice of India J S Khehar and seven other judges of the Supreme Court to five years rigorous imprisonment. In an escalation of his confrontation with the Supreme Court, Justice Karnan whsaid the eight judges have ""jointly committed the offences punishable under the SC/ST Atrocities Act of 1989 and amended Act of 2015."" He named members of the apex courts seven-judge bench, comprising the Chief Justice of India, Justices Dipak Misra, J Chelameswar, Ranjan Gogoi, Madan B Lokur, Pinaki Chandra Ghose and Kurian Joseph. The bench had initiated suo motu(on its own) contempt proceedings against Justice Karnan and restrained him from performing judicial and administrative work. Justice Karnan also added another supreme court judge Justice R Banumathi in the list against whom the order was passed for having restrained his judicial and administrative work along with CJI Khehar. Justice Karnan had on May 4 declined to undergo a mental health checkup as ordered by the Supreme Court, telling a team of doctors he is ""absolutely normal"" and has a ""stable mind"". Stating that the eight judges of the apex court have committed caste discrimination, Justice Karnan said they ""shall be punished under the Scheduled Caste and Scheduled Tribes Atrocities Act, 1989."" He said that the eight judges ""have operated judicial and adminstrative power and harassed a dalit judge besides insulting me at a public institution. The same has been proved beyond all the reasonable doubt from their orders. ""Hence, an adjudication is not required in the instant case,"" Justice Karnan said in his order from his makeshift court at his home in Rosedale towers, New Town here. In his order, Justice Karnan imposed sentences of five years each and a fine of Rs one lakh on three counts, under sub-sections (1)(m), (1)(r) and (1)(u) of Section 3 of the SC/ST Atrocities Act. Justice Karnan directed that all the three sentences would run concurrently and said that if the fines were not paid, they would ""undergo further six months of imprisonment."" He directed that the fine amount be ""paid within a period of one week to the National Commission, Scheduled Caste and Scheduled Tribe Constitutional body, Khan Market, New Delhi from date of receipt of the order."" Justice Karnan also said that an order passed by him on April 13 directing the member Judges of the seven-judge bench to pay a fine of Rs 14 crore was in force and directed ""the Registrar General attached to the Supreme Court to recover the said amount from the salary of each."" "
7,"Accusing Pakistan of supporting terrorism, two top US lawmakers urged President Donald Trump's administration to cut military aid to the country. Adding that US needs to stop ""providing weapons to countries like Pakistan that we're afraid will shoot down our own people,"" the lawmakers suggested facilitation of support and weapons to countries like Egypt, crediting them for fighting terrorism.","terror By Lalit K Jha Washington, Jun 17 (PTI) Two top lawmakers have accused Pakistan of supporting terrorism and urged the Trump administration to cut military aid to the country, saying the US should make it more difficult for Islamabad to get its hands on American weapons. During a Congressional hearing this week, Congressman Dana Rohrabacher and Ted Poe, alleged that Pakistan is engaged in terrorism and asserted that the US needs to cut its military assistance to it. ""We need to go on the record here, on this part of our government, to say that were not going to be providing weapons to countries like Pakistan that were afraid will shoot down our own people and afraid we know theyre engaged in terrorism,"" Rohrabacher said during a House Foreign Affairs Subcommittee on Terrorism, Non-proliferation and Trade hearing on Foreign Military Sales. ""We know what theyve done now. They still hold Dr. Afridi (who helped locate Osama bin Laden)...in a dungeon,"" he said. ""We should be facilitating our support and our weapons systems to countries like Egypt that are fighting this threat to Western civilisation, to all of civilisation. And we should make it more difficult not less difficult for countries like Pakistan to get their hands on American weapons,"" Rohrabacher asserted. Congressman Ted Poe, Chairman of the House Foreign Affairs Subcommittee on Terrorism, Non-proliferation and Trade, said that the US is having the issue with Pakistan whether ""theyre loyal or playing us for years on the issue of aid"" to Pakistan and sales to Pakistan. ""We were concerned about the Pakistanis scrambling F-16s that we made and sold to the Pakistanis so that they wouldnt shoot down Americans who were doing the job of taking out this terrorist. I personally think Pakistan plays the United States because they turn to China if we dont help them,"" Poe said. ""I understand all that. They have nuclear weapons and we want to have a relationship with them so that they dont look to China. I get all that. But are we doing anything different on sales to Pakistan to make sure those sales of whatever it is arent used against us directly or used against us indirectly because of the military helping the Taliban in Afghanistan where were have our troops and those weapons could be used against the United States?"" he asked. ""Are we doing anything different to make sure that doesnt happen or are we still using the same formula,"" Poe questioned. "
8,"Shiv Sena chief Uddhav Thackeray has slammed Prime Minister Narendra Modi for 'centralising power' and taking away the independence of the states. ""Do we have true democracy in the country if all affairs are going to be run according to the wishes of the Prime Minister?"" Thackeray questioned in an interview to the party's mouthpiece Saamana.","swapnil.rawal@hindustantimes.comThe Shiv Sena launched yet another scathing attack on its ally the Bharatiya Janata Party (BJP) through its mouthpiece Saamana on Sunday. In an interview to the newspaper, party chief Uddhav Thackeray attacked Prime Minister Narendra Modi and accused him of ?centralising? power.In a chat with Sena Member of Parliament and executive editor of Saamana Sanjay Raut, Thackeray attacked Modi over his style of functioning, demonetisation, Good and Services Tax (GST) and the PM?s poll pitch ?acche din?. ?The ?acche din? are only limited to government advertisement; the ground reality is completely different. Do we have true democracy in the country if all affairs are going to be run according to the wishes of the Prime Minister? He is centralising power, instead of decentralising it. He is taking away the independence of the states,? Thackeray said.Thackeray, who has been a staunch critic of demonetisation, said the move has not yielded anything positive, instead, it has affected the livelihood of people. ?Around 15 lakh people lost their jobs because of demonetisation. This means around 60 lakh people were directly affected. You should give them jobs now. How are you going to balance ?Start-up India?, ?Make in India? programmes with such colossal job losses? ? Thackeray asked.He also slammed the state government over the farm loan waiver. Thackeray said the government should table the list of 36 lakh farmers, who were going to get the benefit of the waiver in the upcoming Monsoon session. He said the party would continue its ?dhol bajao andolan? (protest by beating drums) to turn the heat on the government over implementing the loan waiver.Interestingly, the Sena chief said he shares a cordial relationship with Maharashtra chief minister Devendra Fadnavis. ?There was no personal animosity between me and the current chief minister. My relation with him is really good. Often, he has accepted the suggestions I have given. He is putting forward views of his party, I am representing the people of the state. The difference is only that,? he said.The two parties share an uncomfortable relationship ever since 2014 Assembly polls where they contested independently. Earlier in 2017, the BJP and the Sena parted ways for the Mumbai civic elections. Sena, which is the junior partner in the central and state governments, has never missed an opportunity to speak up against the BJP and the prime minister. Reiterating his stand, Thackeray said he and his party will continue to speak up whenever they disagree with the decision of the BJP in the state and at the Centre. ?I want to explain my stand here. Whenever I say something or Sena speaks, we are considered anti-government. I am not anti-government. I am merely on the side of the people,? he said."
9,"Pakistan-based terror groups are planning to attack India and Afghanistan, Daniel Coats, the Director of US National Intelligence has said. ""Islamabad has failed to curb militants and terrorists in Pakistan,"" he added. ""Pakistan will likely turn to China to offset its international isolation, empowering a relationship that will help Beijing to project influence into the Indian Ocean,"" Coats said.","spymaster ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ  ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ  From Lalit K Jha ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ ÃÂ  Washington, May 12 (PTI) Pakistan-based terrorist groups are planning to attack both India and Afghanistan, a top US spymaster has said. ""Islamabad has failed to curb militants and terrorists in Pakistan,"" Daniel Coats, Director of National Intelligence told members of the Senate Select Committee on Intelligence during a Congressional hearing on Worldwide threats. ""These groups will present a sustained threat to the United Statess interest in the region and continue to plan and conduct attacks in India and Afghanistan,"" Coats said. Pakistan, he rued, is expanding its nuclear arsenal in pursuing tactical nuclear weapons, potentially lowering the threshold for their use. In South Asia, the intelligence community assesses that the political and security situation in Afghanistan will almost certainly deteriorate through 2018 even with a modest increase in military assistance by the United States and its partners, he told the lawmakers. ""This deterioration is undermined by its dire economic situation. Afghanistan will struggle to curb its dependence on external support until it contains the insurgency or reaches a peace agreement with the Taliban,"" he said. "
